path	'C:/Users/aorfi/Documents/GitHub/Phys359/Compton Scattering/3brick.Chn'
206	2477
207	2537
208	2490
209	2566
210	2469
211	2567
212	2512
213	2462
214	2502
215	2571
216	2520
217	2515
218	2513
219	2518
220	2501
221	2561
222	2485
223	2510
224	2466
225	2457
226	2546
227	2483
228	2418
229	2462
230	2507
231	2523
232	2368
233	2421
234	2432
235	2512
236	2331
237	2357
238	2328
239	2297
240	2297
241	2258
242	2227
243	2285
244	2204
245	2154
246	2129
247	2118
248	2034
249	2039
250	2019
251	1909
252	1919
253	1868
254	1859
255	1892
256	1725
257	1652
258	1614
259	1675
260	1541
261	1539
262	1493
263	1409
264	1451
265	1378
266	1360
267	1371
268	1254
269	1269
270	1282
271	1285
272	1301
273	1225
274	1193
275	1157
276	1159
277	1179
278	1143
279	1145
280	1164
281	1152
282	1085
283	1049
284	1078
285	1031
286	1094
287	1062
288	1054
289	1029
290	1081
291	1074
292	992
293	1024
294	982
295	972
296	1041
297	1044
298	1008
299	1063
300	1037
301	1076
302	1002
303	1053
304	1038
305	1071
306	1065
307	1101
308	1053
309	1092
310	1111
311	1140
312	1123
313	1157
314	1145
315	1214
316	1198
317	1211
318	1260
319	1305
320	1345
321	1351
322	1358
323	1382
324	1463
325	1475
326	1568
327	1722
328	1771
329	1753
330	1945
331	2041
332	2111
333	2196
334	2396
335	2555
336	2643
337	2870
338	3056
339	3319
340	3562
341	3699
342	3797
343	4196
344	4479
345	4795
346	4958
347	5350
348	5581
349	6099
350	6200
351	6883
352	6821
353	7381
354	7705
355	7731
356	8019
357	8290
358	8371
359	8396
360	8572
361	8780
362	8851
363	8780
364	8549
365	8437
366	8426
367	8271
368	8044
369	7716
370	7473
371	7188
372	6780
373	6338
374	6124
375	5712
376	5169
377	4749
378	4359
379	4049
380	3694
381	3329
382	2878
383	2714
384	2291
385	2065
386	1732
387	1531
388	1314
389	1080
390	925
391	757
392	710
393	557
394	449
395	382
396	297
397	244
398	215
399	149
400	116
401	104
402	89
403	64
404	49
405	35
406	34
407	21
408	26
409	21
410	24
411	23
412	9
413	9
414	23
415	15
416	13
417	10
418	12
419	10
420	14
421	11
422	8
423	11
424	6
425	13
426	7
427	13
428	7
429	10
430	5
431	13
432	11
433	10
434	6
435	9
436	9
437	17
438	6
439	11
440	7
441	9
442	6
443	10
444	8
445	10
446	7
447	3
448	6
449	10
450	12
451	10
452	15
453	8
454	2
455	11
456	10
457	9
458	8
459	8
460	9
461	5
462	11
463	7
464	14
465	8
466	8
467	6
468	8
469	6
470	7
471	9
472	5
473	5
474	5
475	7
476	6
477	10
478	14
479	10
480	5
481	6
482	6
483	8
484	5
485	8
486	11
487	14
488	7
489	13
490	11
491	7
492	10
493	6
494	7
495	9
496	10
497	11
498	9
499	3
500	8
501	6
502	5
503	12
504	9
505	6
506	10
507	6
508	6
509	10
510	2
511	13
512	7
513	8
514	5
515	4
516	9
517	3
518	5
519	5
520	11
521	11
522	8
523	8
524	11
525	4
526	4
527	5
528	5
529	7
530	6
531	4
532	11
533	4
534	3
535	6
536	8
537	2
538	2
539	2
540	5
541	3
542	5
543	8
544	8
545	9
546	3
547	2
548	9
549	7
550	7
551	6
552	9
553	5
554	5
555	5
556	11
557	7
558	4
559	9
560	9
561	12
562	7
563	5
564	7
565	7
566	3
567	4
568	6
569	6
570	5
571	7
572	4
573	4
574	3
575	6
576	9
577	6
578	4
579	3
580	4
581	4
582	10
583	3
584	4
585	8
586	9
587	2
588	6
589	3
590	7
591	6
592	4
593	6
594	8
595	3
596	4
597	7
598	1
599	5
600	6
601	8
602	6
603	5
604	11
605	6
606	4
607	8
608	2
609	8
610	3
611	7
612	4
613	3
614	11
615	3
616	3
617	2
618	6
619	3
620	3
621	7
622	9
623	3
624	8
625	8
626	4
627	6
628	7
629	6
630	3
631	5
632	2
633	3
634	3
635	2
636	5
637	1
638	4
639	9
640	3
641	3
642	4
643	4
644	1
645	3
646	3
647	5
648	4
649	2
650	1
651	5
652	4
653	4
654	5
655	2
656	6
657	2
658	7
659	7
660	3
661	1
662	2
663	6
664	2
665	5
666	3
667	4
668	5
669	4
670	6
671	2
672	0
673	3
674	2
675	5
676	4
677	3
678	4
679	5
680	6
681	5
682	1
683	5
684	3
685	2
686	6
687	6
688	3
689	4
690	0
691	3
692	0
693	5
694	3
695	2
696	3
697	2
698	4
699	3
700	10
701	4
702	5
703	2
704	4
705	5
706	1
707	6
708	3
709	8
710	2
711	5
712	6
713	1
714	3
715	1
716	2
717	3
718	2
719	3
720	4
721	1
722	2
723	1
724	2
725	2
726	2
727	3
728	6
729	4
730	1
731	3
732	0
733	3
734	5
735	4
736	2
737	5
738	4
739	3
740	5
741	2
742	2
743	3
744	5
745	2
746	3
747	3
748	6
749	3
750	0
751	0
752	0
753	1
754	3
755	1
756	4
757	2
758	5
759	1
760	2
761	2
762	2
763	1
764	4
765	5
766	2
767	2
768	2
769	6
770	3
771	1
772	3
773	3
774	2
775	4
776	2
777	6
778	3
779	4
780	4
781	2
782	5
783	1
784	5
785	3
786	1
787	4
788	4
789	3
790	4
791	3
792	3
793	4
794	5
795	4
796	0
797	4
798	3
799	8
800	1
801	8
802	2
803	6
804	5
805	4
806	8
807	5
808	10
809	4
810	6
811	5
812	5
813	3
814	5
815	3
816	6
817	1
818	3
819	1
820	2
821	5
822	2
823	3
824	1
825	2
826	3
827	1
828	0
829	3
830	2
831	2
832	1
833	2
834	1
835	2
836	4
837	1
838	4
839	0
840	0
841	1
842	2
843	2
844	0
845	1
846	1
847	0
848	0
849	0
850	0
851	1
852	2
853	1
854	0
855	0
856	0
857	0
858	0
859	0
860	0
861	0
862	1
863	0
864	1
865	1
866	2
867	1
868	2
869	0
870	3
871	1
872	0
873	0
874	0
875	0
876	0
877	1
878	0
879	0
880	0
881	0
882	0
883	0
884	1
885	0
886	0
887	1
888	0
889	0
890	2
891	1
892	2
893	0
894	1
895	0
896	1
897	0
898	0
899	1
900	0
901	1
902	1
903	0
904	0
905	1
906	1
907	0
908	1
909	0
910	1
911	1
912	0
913	1
914	0
915	0
916	1
917	0
918	2
919	1
920	0
921	1
922	1
923	0
924	1
925	1
926	0
927	1
928	1
929	0
930	1
931	0
932	0
933	1
934	0
935	0
936	0
937	1
938	0
939	0
940	0
941	0
942	0
943	0
944	0
945	0
946	1
947	0
948	1
949	0
950	0
951	1
952	1
953	1
954	0
955	0
956	0
957	1
958	1
959	0
960	1
961	0
962	1
963	0
964	0
965	0
966	0
967	0
968	0
969	0
970	1
971	0
972	2
973	1
974	0
975	0
976	0
977	0
978	0
979	0
980	1
981	0
982	0
983	0
984	1
985	0
986	1
987	0
988	1
989	0
990	0
991	0
992	0
993	0
994	0
995	0
996	0
997	0
998	0
999	0
1000	1
1001	0
1002	0
1003	0
1004	0
1005	0
1006	0
1007	2
1008	0
1009	0
1010	0
1011	1
1012	0
1013	0
1014	0
1015	1
1016	0
1017	0
1018	0
1019	1
1020	1
1021	0
1022	0
1023	0
